probe_id	gene_symbol	gene_title	entrez_id	present_in_series	reliable_symbol	included_before_collapse	overall_mean_expression	tie_rule
206014_at	ACTL6B	actin-like 6B	51412	TRUE	TRUE	TRUE	2.7693324965625	highest overall mean; lexical probe_id if exact mean tie
220501_at	ACTL7A	actin-like 7A	10881	TRUE	TRUE	TRUE	2.294280017375	highest overall mean; lexical probe_id if exact mean tie
220498_at	ACTL7B	actin-like 7B	10880	TRUE	TRUE	TRUE	2.563477804875	highest overall mean; lexical probe_id if exact mean tie
214957_at	ACTL8	actin-like 8	81569	TRUE	TRUE	TRUE	2.449329635875	highest overall mean; lexical probe_id if exact mean tie
208636_at	ACTN1	actinin, alpha 1	87	TRUE	TRUE	TRUE	5.8319967055	highest overall mean; lexical probe_id if exact mean tie
203862_s_at	ACTN2	actinin, alpha 2	88	TRUE	TRUE	TRUE	3.307463186375	highest overall mean; lexical probe_id if exact mean tie
206891_at	ACTN3	actinin, alpha 3	89	TRUE	TRUE	TRUE	2.2481772165625	highest overall mean; lexical probe_id if exact mean tie
200601_at	ACTN4	actinin, alpha 4	81	TRUE	TRUE	TRUE	5.6754500480625	highest overall mean; lexical probe_id if exact mean tie
222230_s_at	ACTR10	actin-related protein 10 homolog (S. cerevisiae)	55860	TRUE	TRUE	TRUE	7.01994760275	highest overall mean; lexical probe_id if exact mean tie
200720_s_at	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	10121	TRUE	TRUE	TRUE	4.2689372624375	highest overall mean; lexical probe_id if exact mean tie
202135_s_at	ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta (yeast)	10120	TRUE	TRUE	TRUE	5.2689798990625	highest overall mean; lexical probe_id if exact mean tie
200728_at	ACTR2	ARP2 actin-related protein 2 homolog (yeast)	10097	TRUE	TRUE	TRUE	6.9978883873125	highest overall mean; lexical probe_id if exact mean tie
213101_s_at	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	10096	TRUE	TRUE	TRUE	8.4857046853125	highest overall mean; lexical probe_id if exact mean tie
218868_at	ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)	57180	TRUE	TRUE	TRUE	4.048142486625	highest overall mean; lexical probe_id if exact mean tie
219623_at	ACTR5	ARP5 actin-related protein 5 homolog (yeast)	79913	TRUE	TRUE	TRUE	2.9924037356875	highest overall mean; lexical probe_id if exact mean tie
218395_at	ACTR6	ARP6 actin-related protein 6 homolog (yeast)	64431	TRUE	TRUE	TRUE	5.094987261125	highest overall mean; lexical probe_id if exact mean tie
218658_s_at	ACTR8	ARP8 actin-related protein 8 homolog (yeast)	93973	TRUE	TRUE	TRUE	2.2747373665625	highest overall mean; lexical probe_id if exact mean tie
203935_at	ACVR1	activin A receptor, type I	90	TRUE	TRUE	TRUE	5.084106620375	highest overall mean; lexical probe_id if exact mean tie
213198_at	ACVR1B	activin A receptor, type IB	91	TRUE	TRUE	TRUE	7.0813358866875	highest overall mean; lexical probe_id if exact mean tie
205327_s_at	ACVR2A	activin A receptor, type IIA	92	TRUE	TRUE	TRUE	4.092351434375	highest overall mean; lexical probe_id if exact mean tie
220028_at	ACVR2B	activin A receptor, type IIB	93	TRUE	TRUE	TRUE	2.312482706375	highest overall mean; lexical probe_id if exact mean tie
215590_x_at	ACVR2B-AS1	ACVR2B antisense RNA 1	100128640	TRUE	TRUE	TRUE	2.2803357743125	highest overall mean; lexical probe_id if exact mean tie
210838_s_at	ACVRL1	activin A receptor type II-like 1	94	TRUE	TRUE	TRUE	2.636045708	highest overall mean; lexical probe_id if exact mean tie
205260_s_at	ACYP1	acylphosphatase 1, erythrocyte (common) type	97	TRUE	TRUE	TRUE	4.87263917525	highest overall mean; lexical probe_id if exact mean tie
216705_s_at	ADA	adenosine deaminase	100	TRUE	TRUE	TRUE	2.632900132	highest overall mean; lexical probe_id if exact mean tie
202603_at	ADAM10	ADAM metallopeptidase domain 10	102	TRUE	TRUE	TRUE	7.276420828375	highest overall mean; lexical probe_id if exact mean tie
