source_name	identifier	gene_symbol
wound_healing	GO:0042060	WNT4
wound_healing	GO:0042060	WNT5A
wound_healing	GO:0042060	WNT5B
wound_healing	GO:0042060	WNT7A
wound_healing	GO:0042060	XBP1
wound_healing	GO:0042060	YAP1
cell_adhesion	GO:0007155	AATF
cell_adhesion	GO:0007155	ABAT
cell_adhesion	GO:0007155	ABCA12
cell_adhesion	GO:0007155	ABI3BP
cell_adhesion	GO:0007155	ABL1
cell_adhesion	GO:0007155	ABL2
cell_adhesion	GO:0007155	ACAN
cell_adhesion	GO:0007155	ACHE
cell_adhesion	GO:0007155	ACKR3
cell_adhesion	GO:0007155	ACTB
cell_adhesion	GO:0007155	ACTL6A
cell_adhesion	GO:0007155	ACTL6B
cell_adhesion	GO:0007155	ACTN1
cell_adhesion	GO:0007155	ACTN2
cell_adhesion	GO:0007155	ACTN3
cell_adhesion	GO:0007155	ACTN4
cell_adhesion	GO:0007155	ACVR1
cell_adhesion	GO:0007155	ACVRL1
cell_adhesion	GO:0007155	ADA
cell_adhesion	GO:0007155	ADAM10
cell_adhesion	GO:0007155	ADAM12
cell_adhesion	GO:0007155	ADAM15
cell_adhesion	GO:0007155	ADAM17
cell_adhesion	GO:0007155	ADAM18
cell_adhesion	GO:0007155	ADAM19
cell_adhesion	GO:0007155	ADAM2
cell_adhesion	GO:0007155	ADAM22
cell_adhesion	GO:0007155	ADAM23
cell_adhesion	GO:0007155	ADAM5
cell_adhesion	GO:0007155	ADAM8
cell_adhesion	GO:0007155	ADAM9
cell_adhesion	GO:0007155	ADAMDEC1
cell_adhesion	GO:0007155	ADAMTS12
cell_adhesion	GO:0007155	ADAMTS13
cell_adhesion	GO:0007155	ADAMTS9
cell_adhesion	GO:0007155	ADD2
cell_adhesion	GO:0007155	ADIPOQ
cell_adhesion	GO:0007155	ADTRP
cell_adhesion	GO:0007155	AGER
cell_adhesion	GO:0007155	AGGF1
cell_adhesion	GO:0007155	AGR2
cell_adhesion	GO:0007155	AIF1
cell_adhesion	GO:0007155	AJAP1
cell_adhesion	GO:0007155	AKIP1
cell_adhesion	GO:0007155	AKT1
cell_adhesion	GO:0007155	ALCAM
cell_adhesion	GO:0007155	ALOX12
cell_adhesion	GO:0007155	ALOX15
cell_adhesion	GO:0007155	ALOX5
cell_adhesion	GO:0007155	AMBN
