method_id	score_source	scaling	centroid_source	distance	nasal_E1	nasal_E2	nasal_E3	tracheal_E1	tracheal_E2	tracheal_E3	exact_manuscript_match	absolute_count_error
historical_rawcount_fixed32__historical_rawcount__GSE152004_reference_scaling__euclidean	historical_rawcount_fixed32	GSE152004_reference_scaling	historical_rawcount	euclidean	8	34	13	5	34	10	FALSE	64
log2CPM_T2_fixed_IFN__log2CPM__GSE152004_reference_scaling__manhattan	log2CPM_T2_fixed_IFN	GSE152004_reference_scaling	log2CPM	manhattan	6	39	10	7	33	9	FALSE	64
historical_rawcount_existing_repair__historical_rawcount__GSE152004_reference_scaling__correlation	historical_rawcount_existing_repair	GSE152004_reference_scaling	historical_rawcount	correlation	8	24	23	6	26	17	FALSE	68
log2CPM_T2_fixed_IFN__log2CPM__GSE152004_reference_scaling__euclidean	log2CPM_T2_fixed_IFN	GSE152004_reference_scaling	log2CPM	euclidean	6	33	16	5	34	10	FALSE	68
historical_rawcount_existing_repair__locked_final_VST__GSE152004_reference_scaling__manhattan	historical_rawcount_existing_repair	GSE152004_reference_scaling	locked_final_VST	manhattan	7	30	18	3	36	10	FALSE	70
historical_rawcount_existing_repair__log2CPM__GSE152004_reference_scaling__euclidean	historical_rawcount_existing_repair	GSE152004_reference_scaling	log2CPM	euclidean	17	12	26	13	15	21	FALSE	70
historical_rawcount_existing_repair__log2CPM__GSE152004_reference_scaling__manhattan	historical_rawcount_existing_repair	GSE152004_reference_scaling	log2CPM	manhattan	16	12	27	12	15	22	FALSE	74
historical_rawcount_existing_repair__locked_final_VST__GSE152004_reference_scaling__euclidean	historical_rawcount_existing_repair	GSE152004_reference_scaling	locked_final_VST	euclidean	4	34	17	3	32	14	FALSE	76
log2CPM_recomputed__historical_rawcount__GSE152004_reference_scaling__correlation	log2CPM_recomputed	GSE152004_reference_scaling	historical_rawcount	correlation	4	21	30	5	25	19	FALSE	80
historical_rawcount_existing_repair__locked_final_VST__GSE152004_reference_scaling__correlation	historical_rawcount_existing_repair	GSE152004_reference_scaling	locked_final_VST	correlation	4	24	27	4	25	20	FALSE	82
log2CPM_T2_fixed_IFN__historical_rawcount__GSE152004_reference_scaling__euclidean	log2CPM_T2_fixed_IFN	GSE152004_reference_scaling	historical_rawcount	euclidean	1	43	11	1	40	8	FALSE	86
log2CPM_T2_fixed_IFN__historical_rawcount__GSE152004_reference_scaling__manhattan	log2CPM_T2_fixed_IFN	GSE152004_reference_scaling	historical_rawcount	manhattan	1	43	11	1	40	8	FALSE	86
log2CPM_T2_fixed_IFN__locked_final_VST__GSE152004_reference_scaling__euclidean	log2CPM_T2_fixed_IFN	GSE152004_reference_scaling	locked_final_VST	euclidean	2	41	12	0	41	8	FALSE	86
log2CPM_recomputed__log2CPM__none__correlation	log2CPM_recomputed	none	log2CPM	correlation	9	46	0	4	45	0	FALSE	88
log2CPM_T2_fixed_IFN__locked_final_VST__GSE152004_reference_scaling__manhattan	log2CPM_T2_fixed_IFN	GSE152004_reference_scaling	locked_final_VST	manhattan	0	41	14	0	40	9	FALSE	90
