gene_symbol,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC,loading
CFP,0.0115355123160008,0.00900913503055075,0.0605801896198799,0.0200406978976957,-0.0224802834514226,0.00958259718750158,-0.010253414124557,0.0117415566377483,-0.0043862787978161,0.0239883601693906,PC3,0.0605801896198799
LINC01224,-0.000299753118008802,0.0111655697244862,-0.0545487527401319,0.0163714360273791,-0.0243343196948615,-0.0147143082775572,0.0247082347905625,0.0209158025531121,0.000197719473843677,-0.0442127274682679,PC3,-0.0545487527401319
TSPAN19,-0.0227882016499448,0.0105688305013296,0.0527067697689426,0.0256452691978933,0.0154173962407028,0.00758208208985534,0.0171200631271027,-0.0283990480282408,0.0210561842794846,-0.000635539276152642,PC3,0.0527067697689426
MAP1B,-0.0239712020224828,-0.00713293530558123,0.0505188815222523,0.00455746381639083,0.00335574826652036,-0.000964492799325883,-0.0238961457747869,-0.00380923403518987,0.0445278364064256,-0.0102308298450562,PC3,0.0505188815222523
FAM179A,-0.0293259127801224,0.0102713973064105,0.0490154036013009,0.0153624569584834,0.0172555013892633,0.0105893620286264,0.00365328246241082,-0.0111218599160271,-0.0104975968983383,0.00716147697263562,PC3,0.0490154036013009
TGM3,-0.0230364861179929,0.0102365970939334,0.0485545787298366,0.0156180654934936,-0.000859013955510641,0.00418263829931354,-0.0258680284054614,0.00561594785782048,-0.0057370656895736,0.0237989274249908,PC3,0.0485545787298366
CFAP43,-0.027254205628057,0.0138989428417786,0.0483000837684859,0.0188648337367088,0.0264029500849551,-0.00110506651967848,-0.0100823348901495,-0.00996934157083672,0.000334759490946593,0.0229866933047215,PC3,0.0483000837684859
C1ORF87,-0.0291453967499621,0.0118449839077534,0.0482705425850024,0.0222962124289444,0.00823470604141726,0.0241040272780019,-0.0223053089859315,-0.00449975503653175,0.010918012938166,0.0147589532064941,PC3,0.0482705425850024
MS4A8,-0.0302239286035026,0.000631113165590373,0.0482341712591405,0.0112444005094376,0.0168082222259484,0.0136494253757921,-0.0185098814112153,0.00160258805695356,-0.00413499671375058,0.0235966627184435,PC3,0.0482341712591405
CFAP53,-0.0293032430702443,0.0105075702550761,0.0479902164456603,0.0167941616100896,0.0211687797953571,0.00603355573738488,-0.0181383330890642,-0.000475103371580125,-0.0140403144368459,0.0138773353357068,PC3,0.0479902164456603
MARCH10,-0.0313294905105916,0.00840594801381985,0.047873092134764,0.0166884966924476,0.0105022181385255,0.0144409076082054,-0.0108567664522946,-0.00850122284392826,-0.00174909735544804,0.00576223842774052,PC3,0.047873092134764
MSRB3,-0.0211491669180834,-0.0102709966631296,0.0478496341781614,-0.0416358737557026,-0.00509000107946222,0.000534999016684985,-0.00786902433201302,-0.0119012529906755,0.0189306379248875,-0.00300892355879938,PC3,0.0478496341781614
CFAP52,-0.0305440267354192,0.011668510450891,0.0476121630755117,0.0192816696198701,0.0184075430319141,0.0100577391103074,-0.0147817943813312,-0.0058558157772818,-0.00695343328691452,0.0067398209993232,PC3,0.0476121630755117
C5AR1,0.0182111703660712,0.00151939415901322,0.0474888037194377,0.022448754558864,-0.0451390577335293,-0.0352817967349705,0.0141154192502156,0.0329652042002547,-0.0310963805794783,-0.010637104526466,PC3,0.0474888037194377
RGS22,-0.0308661520811146,0.00257127195719865,0.0474384598935566,0.0224833629900409,0.00976295490631928,0.0151231156645293,-0.0130995985447994,-0.000916634787045451,0.00647860024531732,0.0128695431674073,PC3,0.0474384598935566
KCNN3,-0.0121458796878814,0.00984505922400748,0.0473885104574074,0.00710342158317206,-0.0107180719931227,0.0405834567533214,-0.00200782910332813,-0.0153710988318857,0.0371804021877209,0.0454482922885588,PC3,0.0473885104574074
KCNMB2,-0.0208849150617874,0.0170085901041895,0.0470151215959243,-0.00849172100425166,0.0221837255264309,0.00721140104660953,-0.00795376393194002,0.00819962404746844,0.0163625216024839,0.000340348226337184,PC3,0.0470151215959243
WDR17,-0.0261619841784295,0.0134068578492203,0.0469168674616153,-0.00881075376322149,-0.00820585790684666,0.00299591137476721,0.0185112125389369,-0.0184370656189212,0.0283137788083504,0.00728367379817754,PC3,0.0469168674616153
ARHGEF26-AS1,-0.0321237277938171,0.00571408107792169,0.0466139769462791,0.011159610912063,0.010926184897488,0.00881235469455692,0.00723107459164,0.000427446169828098,0.0076865006377383,0.00460244429791271,PC3,0.0466139769462791
CCDC108,-0.0292296850943552,0.0171546971301873,0.0463858492928063,0.0228907249778178,0.018175925072388,0.00615215044163832,-0.015610766447263,-0.00672537411559371,-0.00576068189914507,0.00625155628330252,PC3,0.0463858492928063
LOC101927416,-0.0236714781991472,-0.00295374507057377,0.0463005673223598,0.0207494504675467,0.0313782193267173,0.0104573538948175,-0.0196249759108626,-0.00415621281643753,-0.0367188958619696,0.0133696034358652,PC3,0.0463005673223598
TEKT3,-0.0271215203250697,0.00275710291770653,0.0462847730915108,0.0136159888152838,0.00321572904961602,0.0189995046745052,-0.00489139831940283,0.0062036085816603,0.0163040026913528,0.0147081471438226,PC3,0.0462847730915108
TMEM232,-0.0272295770797655,0.0115079239263615,0.046235469477516,0.0169549268291182,0.0256740074442582,-0.0004837809595142,-0.00215388202667363,-0.0178185625863306,-0.0159062778516286,0.0190557325795916,PC3,0.046235469477516
DNAH11,-0.0288543201355438,0.0169576459594584,0.0462085742597682,0.0174334882916545,0.0110200170630274,0.00883902235419872,-0.0011450450602912,-0.017210391758887,0.00216374770836958,0.00903502277229251,PC3,0.0462085742597682
DCDC2,-0.0289957887364881,0.0181439386444319,0.0461972627283299,0.00844475679197038,0.0104544485881291,0.0137518127987368,-0.00821551699109014,-0.00754175544182611,0.00406599618703302,0.0081322351026562,PC3,0.0461972627283299
NCAM1,-0.0102943302805489,-0.0024296804946405,0.0330722657793336,-0.0697537664458615,0.0017842905287705,-0.020165147302232,-0.0152829323906571,-0.0286677651074709,0.0190611426689135,-0.0168102471112593,PC4,-0.0697537664458615
